Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,63.13,0,0,71.96,83.10394,1.797409,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.3208482,0,72.70269,63.13,0,0,71.94735,83.10394,1.799449,5.73362597945577,4.7376931200364,3.22935454427814,0.0573362617469106,0.04737693,0.03229355,85,85,0.0002368846,0.0001614677
0.02,S,0.02,0.010,0,0.3208482,0,145.4054,63.12827,0.0000001872398,0,71.9347,83.10394,1.80149,42.1492313580331,41.6514163606918,6.45888684072534,0.473899942538089,0.4638911,0.09688242,85,85,0.002793225,0.0008073476
0.03,S,0.03,0.010,0,0.3208482,0,218.1081,63.12306,0.00001279123,0,71.92205,83.10394,1.80353,79.1683849546094,78.5732396078257,9.68912761049399,1.26455857471302,1.249624,0.1937737,85,85,0.0113608,0.002260628
0.04,S,0.04,0.010,0,0.3208482,0,290.8108,63.11439,0.00009107875,0,71.9094,83.10394,1.80557,116.229639738459,115.509250693597,12.9206098128456,2.42630892446473,2.404716,0.3229798,85,85,0.0296325,0.004844395
0.05,S,0.05,0.010,0,0.3208482,0,363.5134,63.10224,0.0003352981,0,71.89675,83.10394,1.80761,153.318844131319,152.465473999266,16.1538603418124,3.95913052880089,3.929371,0.4845184,85,85,0.06130293,0.008881886
0.05999999,S,0.05999999,0.010,0,0.3208483,0,436.2161,63.08662,0.000892767,0,71.8841,83.10394,1.809651,190.437599889895,189.447961935509,19.3894087146983,5.8632315310199,5.823851,0.6784125,85,85,0.110069,0.01469654
0.06999999,S,0.06999999,0.010,0,0.3208484,0,508.9188,63.06754,0.001957997,0,71.87145,83.10394,1.811691,227.590398929262,226.462741212584,22.6277821993821,8.13891521894063,8.088478,0.9046903,85,85,0.1796307,0.02261205
0.07999999,S,0.07999999,0.010,0,0.3208485,0,581.6215,63.04498,0.003772854,0,71.8588,83.10394,1.813731,264.782579842709,263.515812163151,25.8695057578483,10.7865619910156,10.72364,1.163385,85,85,0.2736913,0.03295243
0.08999999,S,0.08999999,0.010,0,0.3208487,0,597.545,63.01896,0.006626769,0,71.84615,83.10394,1.815771,273.032947336042,271.735231534378,26.5886117344252,13.5167683904922,13.44099,1.429271,85,85,0.3945144,0.04591571
