Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.6563902499189713838892323047,0.656390249918971,0.656390249918971,0.656390249918971,0.656390249918971,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,696756.8
0.02,0,0.6113905231861089341876478961,0.611390523186109,0.611390523186109,0.611390523186109,0.611390523186109,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,1393514
0.03,0,0.5886014662299529140262476597,0.588601466229953,0.588601466229953,0.588601466229953,0.588601466229953,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,2090270
0.04,0,0.5738016645154219344645747477,0.573801664515422,0.573801664515422,0.573801664515422,0.573801664515422,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,2787027
0.05,0,0.5630396140895622287080805474,0.563039614089562,0.563039614089562,0.563039614089562,0.563039614089562,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,3483784
0.06,0,0.5546852005239537842631626753,0.554685200523954,0.554685200523954,0.554685200523954,0.554685200523954,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,4180541
0.07,0,0.5479172527098989882063778300,0.547917252709899,0.547917252709899,0.547917252709899,0.547917252709899,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,4877298
0.08,0,0.5422676051175573898917972939,0.542267605117557,0.542267605117557,0.542267605117557,0.542267605117557,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,5574054
0.09,0,0.5374455940468811674580351976,0.537445594046881,0.537445594046881,0.537445594046881,0.537445594046881,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,6270812
0.10,0,0.5332592881995648859295538971,0.533259288199565,0.533259288199565,0.533259288199565,0.533259288199565,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,6967568
0.11,0,0.5281922971704133105933081522,0.528192297170413,0.528192297170413,0.528192297170413,0.528192297170413,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,7664325
0.12,0,0.5227553675130790793386880156,0.522755367513079,0.522755367513079,0.522755367513079,0.522755367513079,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,8361082
0.13,0,0.5176543521826726225290624071,0.517654352182673,0.517654352182673,0.517654352182673,0.517654352182673,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,9057839
0.14,0,0.5128352578103447323197804555,0.512835257810345,0.512835257810345,0.512835257810345,0.512835257810345,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,9754596
0.15,0,0.5082561081066640360598829942,0.508256108106664,0.508256108106664,0.508256108106664,0.508256108106664,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,10451350
0.16,0,0.5038836376246939445766532543,0.503883637624694,0.503883637624694,0.503883637624694,0.503883637624694,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,11148110
0.17,0,0.4996911711647102801754449751,0.49969117116471,0.49969117116471,0.49969117116471,0.49969117116471,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,11844870
0.18,0,0.4956570478653364480185141867,0.495657047865336,0.495657047865336,0.495657047865336,0.495657047865336,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,12541620
0.19,0,0.4917631956958714714313473110,0.491763195695871,0.491763195695871,0.491763195695871,0.491763195695871,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,13238380
0.20,0,0.4879947686552084261975009310,0.487994768655208,0.487994768655208,0.487994768655208,0.487994768655208,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,13935140
0.21,0,0.4843392210285531359304321661,0.484339221028553,0.484339221028553,0.484339221028553,0.484339221028553,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,14631890
0.22,0,0.4807858564931240187929739675,0.480785856493124,0.480785856493124,0.480785856493124,0.480785856493124,0,0,0,0,10.82056672744811,85.97012435796232791391704938,85.97012435796232791391704938,15328650
